Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
1202,NZDUSD,Sell,01.04.2025 05:30:00,0.56761,0.1,01.04.2025 23:45:00,0.5698,18h 15m,-22.4,1124.95,-0.5,-22.4,1124.95,-21.9,1426.5,-0.2,10.87,Strategy 2.6.180,IS
1204,NZDUSD,Sell,02.04.2025 09:15:00,0.57288,0.1,02.04.2025 23:45:00,0.57201,14h 30m,8.2,1133.15,-0.5,8.2,1133.15,8.7,1435.2,0.07,10.94,Strategy 2.6.180,IS
1206,NZDUSD,Sell,03.04.2025 08:30:00,0.57533,0.1,03.04.2025 15:49:40,0.58333,7h 19m,-80.5,1052.65,-0.5,-80.5,1052.65,-80,1355.2,-0.72,10.22,sl 0.58333,IS
1208,NZDUSD,Sell,04.04.2025 03:45:00,0.5796,0.1,04.04.2025 05:21:40,0.5766,1h 36m,29.5,1082.15,-0.5,29.5,1082.15,30,1385.2,0.27,10.49,tp 0.57660,IS
1210,NZDUSD,Sell,07.04.2025 16:00:00,0.56102,0.1,07.04.2025 17:35:40,0.55802,1h 35m,29.5,1111.65,-0.5,29.5,1111.65,30,1415.2,0.27,10.75,tp 0.55802,IS
1212,NZDUSD,Sell,08.04.2025 03:15:00,0.55555,0.1,08.04.2025 23:31:20,0.55255,20h 16m,29.5,1141.15,-0.5,29.5,1141.15,30,1445.2,0.27,11.02,tp 0.55255,IS
1214,NZDUSD,Sell,10.04.2025 06:15:00,0.56752,0.1,10.04.2025 21:06:20,0.57552,14h 51m,-80.5,1060.65,-0.5,-80.5,1060.65,-80,1365.2,-0.72,10.3,sl 0.57552,IS
1216,NZDUSD,Sell,11.04.2025 03:45:00,0.57586,0.1,11.04.2025 16:46:40,0.58386,13h 1m,-80.5,980.15,-0.5,-80.5,980.15,-80,1285.2,-0.73,9.57,sl 0.58386,IS
1218,NZDUSD,Sell,14.04.2025 03:15:00,0.58455,0.1,14.04.2025 23:45:00,0.58776,20h 30m,-32.6,947.55,-0.5,-32.6,947.55,-32.1,1253.1,-0.3,9.27,Strategy 2.6.180,IS
1220,NZDUSD,Sell,15.04.2025 04:00:00,0.5884,0.1,15.04.2025 23:45:00,0.59013,19h 45m,-17.8,929.75,-0.5,-17.8,929.75,-17.3,1235.8,-0.16,9.11,Strategy 2.6.180,IS
1222,NZDUSD,Sell,17.04.2025 21:45:00,0.5975,0.1,17.04.2025 23:45:00,0.59714,2h 0m,3.1,932.85,-0.5,3.1,932.85,3.6,1239.4,0.03,9.14,Strategy 2.6.180,IS
1224,NZDUSD,Sell,18.04.2025 20:45:00,0.59358,0.1,18.04.2025 23:45:00,0.59417,3h 0m,-6.4,926.45,-0.5,-6.4,926.45,-5.9,1233.5,-0.06,9.08,Strategy 2.6.180,IS
1226,NZDUSD,Sell,21.04.2025 06:00:00,0.59788,0.1,21.04.2025 23:45:00,0.59993,17h 45m,-21,905.45,-0.5,-21,905.45,-20.5,1213,-0.19,8.89,Strategy 2.6.180,IS
1228,NZDUSD,Sell,22.04.2025 06:15:00,0.60168,0.1,22.04.2025 15:25:40,0.59868,9h 10m,29.5,934.95,-0.5,29.5,934.95,30,1243,0.27,9.16,tp 0.59868,IS
1230,NZDUSD,Sell,23.04.2025 04:00:00,0.59829,0.1,23.04.2025 19:22:40,0.59529,15h 22m,29.5,964.45,-0.5,29.5,964.45,30,1273,0.27,9.43,tp 0.59529,IS
1232,NZDUSD,Sell,01.05.2025 21:45:00,0.59102,0.1,01.05.2025 23:45:00,0.59066,2h 0m,3.1,967.55,-0.5,3.1,967.55,3.6,1276.6,0.03,9.46,Strategy 2.6.180,IS
1234,NZDUSD,Sell,02.05.2025 03:30:00,0.59152,0.1,02.05.2025 23:45:00,0.59474,20h 15m,-32.7,934.85,-0.5,-32.7,934.85,-32.2,1244.4,-0.3,9.16,Strategy 2.6.180,IS
1236,NZDUSD,Sell,05.05.2025 08:15:00,0.599,0.1,05.05.2025 23:45:00,0.59653,15h 30m,24.2,959.05,-0.5,24.2,959.05,24.7,1269.1,0.22,9.38,Strategy 2.6.180,IS
1238,NZDUSD,Sell,07.05.2025 04:15:00,0.60204,0.1,07.05.2025 05:48:40,0.59904,1h 33m,29.5,988.55,-0.5,29.5,988.55,30,1299.1,0.27,9.65,tp 0.59904,IS
1240,NZDUSD,Sell,08.05.2025 04:00:00,0.59484,0.1,08.05.2025 10:02:20,0.59184,6h 2m,29.5,1018.05,-0.5,29.5,1018.05,30,1329.1,0.27,9.92,tp 0.59184,IS
1242,NZDUSD,Sell,09.05.2025 10:45:00,0.59041,0.1,09.05.2025 23:45:00,0.59101,13h 0m,-6.5,1011.55,-0.5,-6.5,1011.55,-6,1323.1,-0.06,9.86,Strategy 2.6.180,IS
1244,NZDUSD,Sell,13.05.2025 05:45:00,0.58689,0.1,13.05.2025 23:45:00,0.59408,18h 0m,-72.4,939.15,-0.5,-72.4,939.15,-71.9,1251.2,-0.66,9.2,Strategy 2.6.180,IS
1246,NZDUSD,Sell,14.05.2025 04:30:00,0.59455,0.1,14.05.2025 18:10:40,0.59155,13h 40m,29.5,968.65,-0.5,29.5,968.65,30,1281.2,0.27,9.47,tp 0.59155,IS
1248,NZDUSD,Sell,15.05.2025 04:15:00,0.59058,0.1,15.05.2025 14:19:40,0.58758,10h 4m,29.5,998.15,-0.5,29.5,998.15,30,1311.2,0.27,9.74,tp 0.58758,IS
1250,NZDUSD,Sell,16.05.2025 05:45:00,0.58869,0.1,16.05.2025 23:45:00,0.58789,18h 0m,7.5,1005.65,-0.5,7.5,1005.65,8,1319.2,0.07,9.81,Strategy 2.6.180,IS
1252,NZDUSD,Sell,19.05.2025 17:45:00,0.59215,0.1,19.05.2025 23:45:30,0.59314,6h 0m,-10.4,995.25,-0.5,-10.4,995.25,-9.9,1309.3,-0.09,9.71,Strategy 2.6.180,IS
1254,NZDUSD,Sell,26.05.2025 04:15:00,0.59968,0.1,26.05.2025 23:45:00,0.60005,19h 30m,-4.2,991.05,-0.5,-4.2,991.05,-3.7,1305.6,-0.04,9.67,Strategy 2.6.180,IS
1256,NZDUSD,Sell,27.05.2025 15:45:00,0.59626,0.1,27.05.2025 23:45:00,0.59505,8h 0m,11.6,1002.65,-0.5,11.6,1002.65,12.1,1317.7,0.11,9.78,Strategy 2.6.180,IS
1258,NZDUSD,Sell,02.06.2025 17:15:00,0.60259,0.1,02.06.2025 23:45:00,0.60409,6h 30m,-15.5,987.15,-0.5,-15.5,987.15,-15,1302.7,-0.14,9.64,Strategy 2.6.180,IS
1260,NZDUSD,Sell,03.06.2025 17:30:00,0.60087,0.1,03.06.2025 23:45:00,0.60041,6h 15m,4.1,991.25,-0.5,4.1,991.25,4.6,1307.3,0.04,9.68,Strategy 2.6.180,IS
1262,NZDUSD,Sell,05.06.2025 03:30:00,0.60356,0.1,05.06.2025 23:45:00,0.60379,20h 15m,-2.8,988.45,-0.5,-2.8,988.45,-2.3,1305,-0.03,9.65,Strategy 2.6.180,IS
1264,NZDUSD,Sell,06.06.2025 03:15:00,0.60474,0.1,06.06.2025 15:30:20,0.60174,12h 15m,29.5,1017.95,-0.5,29.5,1017.95,30,1335,0.27,9.92,tp 0.60174,IS
1266,NZDUSD,Sell,09.06.2025 05:15:00,0.6037,0.1,09.06.2025 23:45:00,0.60504,18h 30m,-13.9,1004.05,-0.5,-13.9,1004.05,-13.4,1321.6,-0.13,9.79,Strategy 2.6.180,IS
1268,NZDUSD,Sell,13.06.2025 10:45:00,0.60201,0.1,13.06.2025 23:45:00,0.60191,13h 0m,0.5,1004.55,-0.5,0.5,1004.55,1,1322.6,0,9.8,Strategy 2.6.180,IS
1270,NZDUSD,Sell,16.06.2025 03:15:00,0.60205,0.1,16.06.2025 23:45:00,0.60618,20h 30m,-41.8,962.75,-0.5,-41.8,962.75,-41.3,1281.3,-0.38,9.42,Strategy 2.6.180,IS
1272,NZDUSD,Sell,17.06.2025 06:00:00,0.60645,0.1,17.06.2025 20:05:40,0.60345,14h 5m,29.5,992.25,-0.5,29.5,992.25,30,1311.3,0.27,9.69,tp 0.60345,IS
