Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
270,AUDUSD,Sell,14.03.2022 08:00:00,0.72583,0.1,14.03.2022 09:54:40,0.72383,1h 54m,19.5,74.4,-0.5,19.5,74.4,20,141.9,0.19,0.79,tp 0.72383,IS
272,AUDUSD,Sell,15.03.2022 12:00:00,0.71909,0.1,15.03.2022 23:45:00,0.71956,11h 45m,-5.2,69.2,-0.5,-5.2,69.2,-4.7,137.2,-0.05,0.74,Strategy_5_8_189,IS
274,AUDUSD,Sell,17.03.2022 02:30:00,0.72873,0.1,17.03.2022 18:42:40,0.73673,16h 12m,-80.5,-11.3,-0.5,-80.5,-11.3,-80,57.2,-0.8,-0.06,sl 0.73673,IS
276,AUDUSD,Sell,18.03.2022 12:00:00,0.73831,0.1,18.03.2022 16:13:40,0.73631,4h 13m,19.5,8.2,-0.5,19.5,8.2,20,77.2,0.2,0.13,tp 0.73631,IS
278,AUDUSD,Sell,22.03.2022 08:00:00,0.73912,0.1,22.03.2022 23:43:40,0.74712,15h 43m,-80.5,-72.3,-0.5,-80.5,-72.3,-80,-2.8,-0.8,-0.67,sl 0.74712,IS
280,AUDUSD,Sell,23.03.2022 02:30:00,0.74707,0.1,23.03.2022 03:55:40,0.74507,1h 25m,19.5,-52.8,-0.5,19.5,-52.8,20,17.2,0.2,-0.48,tp 0.74507,IS
282,AUDUSD,Sell,24.03.2022 08:00:00,0.74715,0.1,24.03.2022 23:45:00,0.75138,15h 45m,-42.8,-95.6,-0.5,-42.8,-95.6,-42.3,-25.1,-0.43,-0.91,Strategy_5_8_189,IS
284,AUDUSD,Sell,25.03.2022 12:00:00,0.75044,0.1,25.03.2022 23:45:00,0.75182,11h 45m,-14.3,-109.9,-0.5,-14.3,-109.9,-13.8,-38.9,-0.14,-1.05,Strategy_5_8_189,IS
286,AUDUSD,Sell,28.03.2022 08:00:00,0.75221,0.1,28.03.2022 16:02:40,0.75021,8h 2m,19.5,-90.4,-0.5,19.5,-90.4,20,-18.9,0.2,-0.85,tp 0.75021,IS
288,AUDUSD,Sell,29.03.2022 04:00:00,0.74743,0.1,29.03.2022 23:45:00,0.7509,19h 45m,-35.2,-125.6,-0.5,-35.2,-125.6,-34.7,-53.6,-0.36,-1.21,Strategy_5_8_189,IS
290,AUDUSD,Sell,30.03.2022 02:00:00,0.75195,0.1,30.03.2022 23:45:00,0.75117,21h 45m,7.3,-118.3,-0.5,7.3,-118.3,7.8,-45.8,0.07,-1.13,Strategy_5_8_189,IS
292,AUDUSD,Sell,31.03.2022 04:00:00,0.75107,0.1,31.03.2022 06:31:40,0.74907,2h 31m,19.5,-98.8,-0.5,19.5,-98.8,20,-25.8,0.2,-0.94,tp 0.74907,IS
294,AUDUSD,Sell,01.04.2022 12:00:00,0.75132,0.1,01.04.2022 17:08:40,0.74932,5h 8m,19.5,-79.3,-0.5,19.5,-79.3,20,-5.8,0.2,-0.74,tp 0.74932,IS
296,AUDUSD,Sell,05.04.2022 15:15:00,0.76311,0.1,05.04.2022 18:41:40,0.76111,3h 26m,19.5,-59.8,-0.5,19.5,-59.8,20,14.2,0.2,-0.54,tp 0.76111,IS
298,AUDUSD,Sell,07.04.2022 02:00:00,0.75147,0.1,07.04.2022 04:29:40,0.74947,2h 29m,19.5,-40.3,-0.5,19.5,-40.3,20,34.2,0.2,-0.35,tp 0.74947,IS
300,AUDUSD,Sell,08.04.2022 12:00:00,0.74633,0.1,08.04.2022 16:17:40,0.74433,4h 17m,19.5,-20.8,-0.5,19.5,-20.8,20,54.2,0.2,-0.15,tp 0.74433,IS
302,AUDUSD,Sell,11.04.2022 08:00:00,0.74469,0.1,11.04.2022 10:00:20,0.74269,2h 0m,19.5,-1.3,-0.5,19.5,-1.3,20,74.2,0.2,0.04,tp 0.74269,IS
304,AUDUSD,Sell,12.04.2022 08:00:00,0.74265,0.1,12.04.2022 23:45:30,0.74538,15h 45m,-27.8,-29.1,-0.5,-27.8,-29.1,-27.3,46.9,-0.28,-0.23,Strategy_5_8_189,IS
306,AUDUSD,Sell,13.04.2022 08:00:00,0.74485,0.1,13.04.2022 10:10:40,0.74285,2h 10m,19.5,-9.6,-0.5,19.5,-9.6,20,66.9,0.2,-0.04,tp 0.74285,IS
308,AUDUSD,Sell,18.04.2022 08:00:00,0.73543,0.1,18.04.2022 23:45:00,0.73516,15h 45m,2.2,-7.4,-0.5,2.2,-7.4,2.7,69.6,0.02,-0.02,Strategy_5_8_189,IS
310,AUDUSD,Sell,19.04.2022 08:00:00,0.73732,0.1,19.04.2022 14:35:40,0.73532,6h 35m,19.5,12.1,-0.5,19.5,12.1,20,89.6,0.2,0.18,tp 0.73532,IS
312,AUDUSD,Sell,20.04.2022 04:30:00,0.7377,0.1,20.04.2022 17:54:40,0.7457,13h 24m,-80.5,-68.4,-0.5,-80.5,-68.4,-80,9.6,-0.8,-0.62,sl 0.74570,IS
314,AUDUSD,Sell,22.04.2022 08:00:00,0.73418,0.1,22.04.2022 09:51:40,0.73218,1h 51m,19.5,-48.9,-0.5,19.5,-48.9,20,29.6,0.2,-0.43,tp 0.73218,IS
316,AUDUSD,Sell,25.04.2022 04:00:00,0.7213,0.1,25.04.2022 04:33:40,0.7193,33m 40s,19.5,-29.4,-0.5,19.5,-29.4,20,49.6,0.2,-0.23,tp 0.71930,IS
318,AUDUSD,Sell,26.04.2022 08:00:00,0.72243,0.1,26.04.2022 09:44:40,0.72043,1h 44m,19.5,-9.9,-0.5,19.5,-9.9,20,69.6,0.2,-0.04,tp 0.72043,IS
320,AUDUSD,Sell,27.04.2022 02:00:00,0.71309,0.1,27.04.2022 17:32:20,0.71109,15h 32m,19.5,9.6,-0.5,19.5,9.6,20,89.6,0.2,0.16,tp 0.71109,IS
322,AUDUSD,Sell,28.04.2022 08:00:00,0.70971,0.1,28.04.2022 08:25:40,0.70771,25m 40s,19.5,29.1,-0.5,19.5,29.1,20,109.6,0.19,0.35,tp 0.70771,IS
324,AUDUSD,Sell,29.04.2022 04:00:00,0.71249,0.1,29.04.2022 17:58:40,0.71049,13h 58m,19.5,48.6,-0.5,19.5,48.6,20,129.6,0.19,0.55,tp 0.71049,IS
326,AUDUSD,Sell,02.05.2022 02:00:00,0.70696,0.1,02.05.2022 04:47:40,0.70496,2h 47m,19.5,68.1,-0.5,19.5,68.1,20,149.6,0.19,0.74,tp 0.70496,IS
