Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
664,USDJPY,Buy,21.06.2023 07:15:00,141.738,0.1,21.06.2023 23:45:00,141.864,16h 30m,8.38,1207.31,-0.5,8.38,1207.31,12.6,1829.8,0.07,11.69,Strategy 2.5.150,IS
666,USDJPY,Buy,22.06.2023 04:00:00,141.885,0.1,22.06.2023 20:22:40,143.035,16h 22m,79.9,1287.21,-0.5,79.9,1287.21,115,1944.8,0.71,12.4,tp 143.035,IS
668,USDJPY,Buy,23.06.2023 06:00:00,143.112,0.1,23.06.2023 23:45:00,143.746,17h 45m,43.61,1330.82,-0.5,43.61,1330.82,63.4,2008.2,0.39,12.79,Strategy 2.5.150,IS
670,USDJPY,Buy,26.06.2023 04:30:00,143.554,0.1,26.06.2023 23:45:00,143.511,19h 15m,-3.5,1327.32,-0.5,-3.5,1327.32,-4.3,2003.9,-0.03,12.76,Strategy 2.5.150,IS
672,USDJPY,Buy,27.06.2023 04:00:00,143.494,0.1,27.06.2023 23:45:00,144.059,19h 45m,38.72,1366.04,-0.5,38.72,1366.04,56.5,2060.4,0.34,13.1,Strategy 2.5.150,IS
674,USDJPY,Buy,28.06.2023 10:00:00,143.99,0.1,28.06.2023 23:45:00,144.481,13h 45m,33.48,1399.52,-0.5,33.48,1399.52,49.1,2109.5,0.29,13.4,Strategy 2.5.150,IS
676,USDJPY,Buy,29.06.2023 06:15:00,144.422,0.1,29.06.2023 23:45:00,144.796,17h 30m,25.33,1424.85,-0.5,25.33,1424.85,37.4,2146.9,0.22,13.62,Strategy 2.5.150,IS
678,USDJPY,Buy,30.06.2023 03:00:00,144.796,0.1,30.06.2023 23:45:00,144.342,20h 45m,-31.95,1392.9,-0.5,-31.95,1392.9,-45.4,2101.5,-0.28,13.34,Strategy 2.5.150,IS
680,USDJPY,Buy,03.07.2023 04:15:00,144.485,0.1,03.07.2023 17:00:40,144.086,12h 45m,-28.19,1364.71,-0.5,-28.19,1364.71,-39.9,2061.6,-0.25,13.09,sl 144.086,IS
682,USDJPY,Buy,04.07.2023 05:15:00,144.623,0.1,04.07.2023 23:45:00,144.454,18h 30m,-12.2,1352.51,-0.5,-12.2,1352.51,-16.9,2044.7,-0.11,12.98,Strategy 2.5.150,IS
684,USDJPY,Buy,05.07.2023 04:30:00,144.587,0.1,05.07.2023 23:45:00,144.681,19h 15m,6,1358.51,-0.5,6,1358.51,9.4,2054.1,0.05,13.04,Strategy 2.5.150,IS
686,USDJPY,Buy,19.07.2023 14:15:00,139.973,0.1,19.07.2023 23:45:00,139.74,9h 30m,-17.17,1341.34,-0.5,-17.17,1341.34,-23.3,2030.8,-0.15,12.89,Strategy 2.5.150,IS
688,USDJPY,Buy,20.07.2023 08:00:00,139.375,0.1,20.07.2023 23:45:00,140.053,15h 45m,47.91,1389.25,-0.5,47.91,1389.25,67.8,2098.6,0.42,13.31,Strategy 2.5.150,IS
690,USDJPY,Buy,21.07.2023 05:15:00,140.152,0.1,21.07.2023 10:51:00,141.302,5h 36m,80.89,1470.14,-0.5,80.89,1470.14,115,2213.6,0.71,14.02,tp 141.302,IS
692,USDJPY,Buy,24.07.2023 17:00:00,141.158,0.1,24.07.2023 23:45:00,141.5,6h 45m,23.67,1493.81,-0.5,23.67,1493.81,34.2,2247.8,0.21,14.22,Strategy 2.5.150,IS
694,USDJPY,Buy,25.07.2023 03:15:00,141.573,0.1,25.07.2023 23:45:00,140.957,20h 30m,-44.2,1449.61,-0.5,-44.2,1449.61,-61.6,2186.2,-0.38,13.84,Strategy 2.5.150,IS
696,USDJPY,Buy,26.07.2023 03:15:00,141.012,0.1,26.07.2023 11:29:40,140.358,8h 14m,-47.1,1402.51,-0.5,-47.1,1402.51,-65.4,2120.8,-0.41,13.43,sl 140.358,IS
698,USDJPY,Buy,31.07.2023 04:30:00,141.315,0.1,31.07.2023 11:39:40,142.465,7h 9m,80.22,1482.73,-0.5,80.22,1482.73,115,2235.8,0.7,14.13,tp 142.465,IS
700,USDJPY,Buy,01.08.2023 02:15:00,142.359,0.1,01.08.2023 20:34:40,143.509,18h 19m,79.63,1562.36,-0.5,79.63,1562.36,115,2350.8,0.69,14.83,tp 143.509,IS
702,USDJPY,Buy,02.08.2023 03:30:00,143.022,0.1,02.08.2023 11:02:40,142.52,7h 32m,-35.72,1526.64,-0.5,-35.72,1526.64,-50.2,2300.6,-0.31,14.52,sl 142.520,IS
704,USDJPY,Buy,03.08.2023 07:15:00,143.514,0.1,03.08.2023 10:31:40,143.058,3h 16m,-32.38,1494.26,-0.5,-32.38,1494.26,-45.6,2255,-0.28,14.24,sl 143.058,IS
706,USDJPY,Buy,04.08.2023 11:30:00,142.656,0.1,04.08.2023 16:05:40,141.996,4h 35m,-46.98,1447.28,-0.5,-46.98,1447.28,-66,2189,-0.41,13.83,sl 141.996,IS
708,USDJPY,Buy,07.08.2023 19:15:00,142.468,0.1,07.08.2023 23:45:00,142.468,4h 30m,-0.5,1446.78,-0.5,-0.5,1446.78,0,2189,-0,13.82,Strategy 2.5.150,IS
710,USDJPY,Buy,08.08.2023 03:00:00,142.539,0.1,08.08.2023 23:45:00,143.385,20h 45m,58.5,1505.28,-0.5,58.5,1505.28,84.6,2273.6,0.51,14.33,Strategy 2.5.150,IS
712,USDJPY,Buy,09.08.2023 04:45:00,143.39,0.1,09.08.2023 23:45:00,143.685,19h 0m,20.03,1525.31,-0.5,20.03,1525.31,29.5,2303.1,0.17,14.51,Strategy 2.5.150,IS
714,USDJPY,Buy,10.08.2023 03:15:00,143.777,0.1,10.08.2023 23:45:00,144.736,20h 30m,65.76,1591.07,-0.5,65.76,1591.07,95.9,2399,0.57,15.08,Strategy 2.5.150,IS
716,USDJPY,Buy,11.08.2023 09:30:00,144.737,0.1,11.08.2023 23:45:00,144.931,14h 15m,12.89,1603.96,-0.5,12.89,1603.96,19.4,2418.4,0.11,15.19,Strategy 2.5.150,IS
718,USDJPY,Buy,14.08.2023 03:30:00,145.106,0.1,14.08.2023 23:45:00,145.514,20h 15m,27.54,1631.5,-0.5,27.54,1631.5,40.8,2459.2,0.24,15.43,Strategy 2.5.150,IS
720,USDJPY,Buy,15.08.2023 00:15:00,145.566,0.1,15.08.2023 23:45:00,145.572,23h 30m,-0.09,1631.41,-0.5,-0.09,1631.41,0.6,2459.8,-0,15.43,Strategy 2.5.150,IS
722,USDJPY,Buy,16.08.2023 04:15:00,145.651,0.1,16.08.2023 23:45:00,146.325,19h 30m,45.56,1676.97,-0.5,45.56,1676.97,67.4,2527.2,0.39,15.82,Strategy 2.5.150,IS
724,USDJPY,Buy,17.08.2023 02:30:00,146.307,0.1,17.08.2023 15:27:40,145.702,12h 57m,-42.02,1634.95,-0.5,-42.02,1634.95,-60.5,2466.7,-0.36,15.46,sl 145.702,IS
726,USDJPY,Buy,21.08.2023 04:45:00,145.392,0.1,21.08.2023 23:45:00,146.2,19h 0m,54.77,1689.72,-0.5,54.77,1689.72,80.8,2547.5,0.47,15.93,Strategy 2.5.150,IS
728,USDJPY,Buy,22.08.2023 03:15:00,146.351,0.1,22.08.2023 23:45:00,145.876,20h 30m,-33.06,1656.66,-0.5,-33.06,1656.66,-47.5,2500,-0.28,15.65,Strategy 2.5.150,IS
730,USDJPY,Buy,24.08.2023 20:00:00,145.904,0.1,24.08.2023 23:45:00,145.823,3h 45m,-6.05,1650.61,-0.5,-6.05,1650.61,-8.1,2491.9,-0.05,15.59,Strategy 2.5.150,IS
732,USDJPY,Buy,25.08.2023 04:30:00,146.158,0.1,25.08.2023 23:45:00,146.438,19h 15m,18.62,1669.23,-0.5,18.62,1669.23,28,2519.9,0.16,15.75,Strategy 2.5.150,IS
734,USDJPY,Buy,28.08.2023 01:30:00,146.46,0.1,28.08.2023 23:45:00,146.521,22h 15m,3.66,1672.89,-0.5,3.66,1672.89,6.1,2526,0.03,15.79,Strategy 2.5.150,IS
736,USDJPY,Buy,29.08.2023 07:15:00,146.436,0.1,29.08.2023 17:04:40,146.53,9h 49m,5.92,1678.81,-0.5,5.92,1678.81,9.4,2535.4,0.05,15.84,sl 146.530,IS
738,USDJPY,Buy,31.08.2023 07:00:00,145.949,0.1,31.08.2023 23:45:00,145.503,16h 45m,-31.15,1647.66,-0.5,-31.15,1647.66,-44.6,2490.8,-0.27,15.57,Strategy 2.5.150,IS
740,USDJPY,Buy,04.09.2023 11:00:00,146.452,0.1,05.09.2023 00:05:06,146.456,13h 5m,-0.03,1647.63,-0.3,-0.03,1647.63,0.4,2491.2,-0,15.57,Strategy 2.5.150,IS
742,USDJPY,Buy,05.09.2023 03:00:00,146.589,0.1,05.09.2023 20:00:40,147.739,17h 0m,77.34,1724.97,-0.5,77.34,1724.97,115,2606.2,0.66,16.23,tp 147.739,IS
744,USDJPY,Buy,06.09.2023 18:00:00,147.65,0.1,07.09.2023 00:05:06,147.63,6h 5m,-1.25,1723.72,0.1,-1.25,1723.72,-2,2604.2,-0.01,16.22,Strategy 2.5.150,IS
746,USDJPY,Buy,08.09.2023 11:00:00,147.443,0.1,11.09.2023 00:05:06,146.789,2d 13h 5m,-44.85,1678.87,-0.3,-44.85,1678.87,-65.4,2538.8,-0.38,15.84,Strategy 2.5.150,IS
748,USDJPY,Buy,13.09.2023 05:00:00,147.365,0.1,14.09.2023 00:05:06,147.364,19h 5m,0.03,1678.9,0.1,0.03,1678.9,-0.1,2538.7,0,15.84,Strategy 2.5.150,IS
750,USDJPY,Buy,15.09.2023 06:00:00,147.532,0.1,18.09.2023 00:05:06,147.745,2d 18h 5m,14.12,1693.02,-0.3,14.12,1693.02,21.3,2560,0.12,15.96,Strategy 2.5.150,IS
752,USDJPY,Buy,18.09.2023 17:00:00,147.801,0.1,19.09.2023 00:05:06,147.597,7h 5m,-14.12,1678.9,-0.3,-14.12,1678.9,-20.4,2539.6,-0.12,15.84,Strategy 2.5.150,IS
754,USDJPY,Buy,19.09.2023 09:00:00,147.836,0.1,20.09.2023 00:05:06,147.764,15h 5m,-5.17,1673.73,-0.3,-5.17,1673.73,-7.2,2532.4,-0.04,15.8,Strategy 2.5.150,IS
756,USDJPY,Buy,20.09.2023 09:00:00,147.944,0.1,21.09.2023 00:05:06,148.186,15h 5m,16.43,1690.16,0.1,16.43,1690.16,24.2,2556.6,0.14,15.94,Strategy 2.5.150,IS
758,USDJPY,Buy,25.09.2023 16:00:00,148.785,0.1,26.09.2023 00:05:06,148.812,8h 5m,1.51,1691.67,-0.3,1.51,1691.67,2.7,2559.3,0.01,15.95,Strategy 2.5.150,IS
