strategy_id,trade_count,profit_factor,net_profit,robustness_score,portfolio_fit_score,diversification_score,regime_dependency_score,correlation_penalty,recommended_lot_size,max_safe_lot_size,recommended_risk_budget,selection_status,final_score,selection_reason_codes
AUDJPY_1_3.14.146_BUY_M15,655,1.081328982890836,491.0400000000001,0.6000000000000001,0.7142192451279488,0.92825613705338,0.4909890515380504,0.0507573822124981,0.1,0.2,VERY_LOW,WATCHLIST,0.5649180402773848,RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
AUDJPY_2_5.20.109_BUY_M15,664,1.2281859189890263,1776.0600000000002,1.0,0.7166291218439946,0.9327898904854718,0.5208051659777775,0.0309793726799387,0.1,0.1,VERY_LOW,WATCHLIST,0.6934548455451353,RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
AUDJPY_3_3.19_BUY_M15,621,1.332074030251224,2138.58,0.8,0.7106924591881074,0.9209190583243824,0.49203900348768753,0.0489542932918791,0.2,0.3,VERY_LOW,WATCHLIST,0.6798157428948436,RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
AUDJPY_46_3.50.181_BUY_M15,572,1.2027926344812987,1111.33,1.0,0.7147751359984116,0.9296003160545796,0.5341445537113079,0.0183694154302234,0.2,0.3,VERY_LOW,WATCHLIST,0.6952630448803948,RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
AUDJPY_47_6.30.171_BOTH_M15,650,1.1766100996622024,968.8,1.0,0.7182163402084283,0.936237916255435,0.5516068508750663,0.0231841789370605,0.3,0.4,LOW,WATCHLIST,0.6952556701170464,REGIME_DEPENDENCY_HIGH|HAS_FORBIDDEN_REGIMES
AUDJPY_56_1.14.109_BUY_M15,684,1.2603622500047815,2041.93,1.0,0.7135325416124048,0.9270850450907848,0.6039584931273437,0.0614640895980072,0.1,0.2,VERY_LOW,WATCHLIST,0.6917608079569338,REGIME_DEPENDENCY_HIGH|RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
AUDJPY_78_3.7.108_BUY_M15,622,1.3389040948026618,2197.8099999999995,0.8,0.7107465365030037,0.9210473225432158,0.4936799791892291,0.0484607615606952,0.2,0.3,VERY_LOW,WATCHLIST,0.6812249581658588,RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
AUDUSD_48_5.8.189_SELL_M15,839,1.191921590746046,1551.6400000000003,1.0,0.7078598885750539,0.91571941024896,0.46118670919772575,0.0471870885121609,0.1,0.2,VERY_LOW,WATCHLIST,0.692705899842964,RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
AUDUSD_4_3.27.109_SELL_M15,513,1.229780646885661,1237.9799999999998,0.8,0.7030816833631505,0.9063437532498106,0.4535839506969059,0.0724732777488998,0.2,0.3,VERY_LOW,WATCHLIST,0.6582749050056146,RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
AUDUSD_5_6.3.178_SELL_M15,640,1.0845562462027387,578.96,0.6000000000000001,0.7037503207541961,0.9077826718675184,0.5758916800100135,0.074039762888589,0.1,0.2,VERY_LOW,WATCHLIST,0.5507393607131963,REGIME_DEPENDENCY_HIGH|RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
AUDUSD_60_1.31.145_SELL_M15,556,1.1519951457509443,861.7,0.6000000000000001,0.7064836732528716,0.9130571850840477,0.4247085386647842,0.0551236063537971,0.2,0.3,VERY_LOW,WATCHLIST,0.5950041307548852,RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
AUDUSD_61_6.25.174_SELL_M15,562,1.2695564432239006,1036.52,1.0,0.7114059266977232,0.9227355275901892,0.5009439731523736,0.0334515717103138,0.3,0.4,LOW,APPROVED,0.7215086474838118,HAS_FORBIDDEN_REGIMES
AUDUSD_6_5.9.126_SELL_M15,752,1.1835127411411477,1420.4399999999996,0.8,0.70984435283503,0.9197064894538436,0.4813430643887293,0.0697866084649206,0.1,0.2,VERY_LOW,WATCHLIST,0.6387362105287703,RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
EURGBP_10_5.21.111_SELL_M15,472,1.1968722919731567,879.2099999999999,0.6000000000000001,0.7120207062780775,0.9239479634632264,0.5757950084862246,0.0430496797815905,0.1,0.2,VERY_LOW,WATCHLIST,0.5800366421250116,REGIME_DEPENDENCY_HIGH|RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
EURGBP_49_2.36.141_BOTH_M15,1162,1.1132717936540917,954.06,0.8,0.713672143302573,0.9271806731286558,0.537894736417877,0.0286652833154732,0.1,0.2,VERY_LOW,WATCHLIST,0.6159902927675031,RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
EURGBP_62_3.31.132_BUY_M15,633,1.1457842399417666,472.65,0.6000000000000001,0.7225079163613687,0.9450102466435074,0.44794003188396175,0.0395947340274471,0.3,0.4,LOW,WATCHLIST,0.60334573864731,HAS_FORBIDDEN_REGIMES
EURGBP_63_4.21.189_SELL_M15,850,1.1161142565944044,783.82,0.8,0.7062231463841595,0.9123039395658014,0.45477913363628514,0.0598175564078103,0.2,0.3,VERY_LOW,WATCHLIST,0.6324377523554071,RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
EURGBP_70_2.27.108_SELL_M15,816,1.040601142942113,240.28000000000003,0.6000000000000001,0.7095697990617501,0.919414381907284,0.5261435961259511,0.0555210469693234,0.1,0.2,VERY_LOW,SHADOW_ONLY,0.5490661540767199,PROFIT_FACTOR_TOO_LOW|RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
EURGBP_7_3.16.177_SELL_M15,615,0.9767603284924862,-77.33999999999995,0.6000000000000001,0.7102144225360191,0.9205210809106164,0.6602295540153011,0.0353846487933226,0.2,0.3,VERY_LOW,SHADOW_ONLY,0.5236756089754061,PROFIT_FACTOR_TOO_LOW|REGIME_DEPENDENCY_HIGH|RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
EURGBP_8_6.1.186_SELL_M15,646,1.1955833208638835,1254.8000000000002,0.8,0.7117459925379395,0.9231295633802103,0.4988426867541174,0.0238653326927569,0.2,0.3,VERY_LOW,WATCHLIST,0.6471722046017284,RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
EURGBP_9_5.2.127_SELL_M15,607,1.143038019321157,851.81,0.6000000000000001,0.7082999756329007,0.916449324090681,0.4709768056635221,0.0220293211550457,0.1,0.2,VERY_LOW,WATCHLIST,0.5800375412845173,RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
EURUSD_11_1.42.105_SELL_M15,533,1.144771709365152,588.94,0.8,0.702904219579818,0.9057471818475292,0.5134384933832323,0.0426882484204963,0.2,0.3,VERY_LOW,WATCHLIST,0.6302059196603743,RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
EURUSD_12_3.47.124_BUY_M15,648,1.09154751477319,593.6600000000001,0.8,0.7156715921053975,0.9314769268986886,0.6047254221521273,0.0418322530163541,0.1,0.2,VERY_LOW,WATCHLIST,0.6026974823362296,REGIME_DEPENDENCY_HIGH|RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
EURUSD_13_6.46.178_BUY_M15,524,1.1082688714931983,560.98,0.8,0.7113234467682665,0.922680773210728,0.5796425793038251,0.0401460582261675,0.1,0.2,VERY_LOW,WATCHLIST,0.6084444610886002,REGIME_DEPENDENCY_HIGH|RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
EURUSD_14_5.6.167_BUY_M15,702,1.1547507192188848,958.5599999999996,1.0,0.7139905576148113,0.927994857917516,0.505227020379704,0.0142697626544038,0.2,0.3,VERY_LOW,WATCHLIST,0.6875365033582844,RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
EURUSD_18_6.6.111_SELL_M15,1535,1.2919467515355512,8982.460000000001,1.0,0.698236009076973,0.897618911526771,0.37928607623590127,0.0540410308504392,0.1,,,SHADOW_ONLY,0.7510943140981998,NO_SAFE_LOT|RISK_BUDGET_MISSING|HAS_FORBIDDEN_REGIMES
EURUSD_59_2.34.129_SELL_M15,964,1.0668005284015851,758.5199999999999,0.8,0.6936448985389184,0.8874005945602508,0.4471274922219652,0.0888474181573862,0.1,0.2,VERY_LOW,WATCHLIST,0.610176082068705,RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
EURUSD_64_4.34.165_BUY_M15,855,1.1322649469817283,824.5000000000002,0.8,0.7163654552396935,0.9327501326193351,0.4917403789613768,0.0144667546946043,0.1,0.2,VERY_LOW,WATCHLIST,0.627574127088234,RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
EURUSD_71_5.30.159_SELL_M15,1001,1.0792768613852373,801.0800000000002,0.8,0.6952751505256676,0.8908813040132011,0.4641865427085472,0.0729800896977782,0.1,0.2,VERY_LOW,WATCHLIST,0.6114297585079941,RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
