[INFO] terminal64.exe = C:\Users\Leon\Desktop\MetaTrader 5 - Kopie - Kopie - Kopie (17) - Kopie - Kopie - Kopie - Kopie\terminal64.exe
[INFO] ROOT = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO
[INFO] OUTPUT_DIR = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715324
[OK] Connected: 1512715324 | $200k FTMO Free Trial 2-Step | FTMO-Demo
[OK] Backfill done. Folder: C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715324
[INFO] Polling every 60s. Stop with CTRL+C.
[LOOP] 2026-03-18T12:01:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:02:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:03:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:04:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:05:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:06:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:07:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:08:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:09:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:10:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:11:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:12:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:13:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:14:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:15:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:16:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:17:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:18:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:19:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:20:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:21:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:22:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:23:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:24:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:25:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:26:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:27:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:28:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:29:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:30:40+00:00 | no new closed trades
