[INFO] terminal64.exe = C:\Users\Leon\Desktop\MetaTrader 5 - Kopie - Kopie - Kopie (17) - Kopie - Kopie - Kopie - Kopie\terminal64.exe
[INFO] ROOT = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO
[INFO] OUTPUT_DIR = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715324
[OK] Connected: 1512715324 | $200k FTMO Free Trial 2-Step | FTMO-Demo
[CLOSED] +25 -> C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715324\closed_trades.csv
[OK] Backfill done. Folder: C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715324
[INFO] Polling every 60s. Stop with CTRL+C.
[LOOP] 2026-03-12T12:08:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:09:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:10:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:11:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:12:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:13:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:14:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:15:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:16:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:17:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:18:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:19:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:20:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:21:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:22:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:23:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:24:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:25:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:26:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:27:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:28:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:29:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:30:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:31:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:32:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:33:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:34:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:35:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:36:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:37:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:38:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:39:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:40:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:41:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:42:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:43:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:44:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:45:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:46:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:47:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:48:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:49:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:50:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:51:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:52:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:53:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:54:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:55:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:56:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:57:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:58:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:59:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:00:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:01:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:02:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:03:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:04:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:05:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:06:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:07:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:08:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:09:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:10:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:11:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:12:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:13:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:14:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:15:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:16:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:17:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:18:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:19:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:20:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:21:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:22:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:23:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:24:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:25:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:26:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:27:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:28:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:29:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:30:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:31:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:32:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:33:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:34:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:35:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:36:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:37:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:38:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:39:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:40:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:41:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:42:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:43:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:44:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:45:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:46:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:47:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:48:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:49:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:50:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:51:26+00:00 | no new closed trades
