[INFO] terminal64.exe = C:\Users\Leon\Desktop\Terminals\MetaTrader 5 - Kopie - Kopie - Kopie (8) - Kopie - Kopie - Kopie - Kopie\terminal64.exe
[INFO] ROOT = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO
[INFO] OUTPUT_DIR = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_540136824_LIVE
[OK] Connected: 540136824 | FTMO Challenge USD | FTMO-Server4 | LIVE
[OK] Backfill done. Folder: C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_540136824_LIVE | account_type=LIVE | server=FTMO-Server4
[INFO] Polling every 60s. Stop with CTRL+C.
[LOOP] 2026-03-23T17:34:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:35:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:36:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:37:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:38:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:39:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:40:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:41:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:42:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:43:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:44:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:45:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:46:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:47:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:48:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:49:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:50:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:51:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:52:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:53:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:54:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:55:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:56:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:57:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:58:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:59:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
