[INFO] terminal64.exe = C:\Users\Leon\Desktop\MetaTrader 5 - Kopie - Kopie - Kopie (16) - Kopie - Kopie - Kopie - Kopie\terminal64.exe
[INFO] ROOT = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO
[INFO] OUTPUT_DIR = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715329
[OK] Connected: 1512715329 | $200k FTMO Free Trial 2-Step | FTMO-Demo
[CLOSED] +1 -> C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715329\closed_trades.db
[OK] Backfill done. Folder: C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715329
[INFO] Polling every 60s. Stop with CTRL+C.
[LOOP] 2026-03-18T14:39:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:40:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:41:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:42:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:43:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:44:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:45:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:46:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:47:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:48:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:49:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:50:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:51:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:52:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:53:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:54:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:55:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:56:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:57:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:58:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:59:39+00:00 | no new closed trades
[LOOP] 2026-03-18T15:00:39+00:00 | no new closed trades
[LOOP] 2026-03-18T15:01:39+00:00 | no new closed trades
[LOOP] 2026-03-18T15:02:39+00:00 | no new closed trades
[LOOP] 2026-03-18T15:03:39+00:00 | no new closed trades
[LOOP] 2026-03-18T15:04:39+00:00 | no new closed trades
[LOOP] 2026-03-18T15:05:39+00:00 | no new closed trades
